file_size,challenge_c,iot_to_cloud_bytes,iot_to_verifier_bytes,challenge_bytes,proof_bytes,total_communication,blockchain_storage,metadata_storage,total_storage_overhead
16384,1,32455,39947,181,0,72583,128,21526,21654
16384,5,32475,39951,311,8227,80964,128,21529,21657
16384,10,32451,39959,483,14595,87488,128,21534,21662
16384,20,32463,39943,816,27299,100521,128,21522,21650
16384,50,32451,39951,1826,65443,139671,128,21528,21656
16384,100,32471,39979,3495,128987,204932,128,21549,21677
16384,200,32463,39939,6867,256199,335468,128,21519,21647
16384,300,32463,39943,10229,383175,465810,128,21523,21651
16384,600,32463,39987,18543,696411,787404,128,21554,21682
32768,1,63611,68603,177,3267,135658,128,43017,43145
32768,5,63635,68619,313,8839,141406,128,43027,43155
32768,10,63639,68623,487,15807,148556,128,43031,43159
32768,20,63651,68615,821,29711,162798,128,43026,43154
32768,50,63591,68603,1845,71483,205522,128,43016,43144
32768,100,63627,68615,3541,141119,276902,128,43026,43154
32768,200,63647,68603,6943,280071,419264,128,43015,43143
32768,300,63583,68623,10327,419363,561896,128,43032,43160
32768,600,63583,68619,20534,837075,989811,128,43028,43156
65536,1,125919,125943,177,3387,255426,128,86020,86148
65536,5,125899,125907,319,9447,261572,128,85995,86123
65536,10,125935,125871,491,17019,269316,128,85968,86096
65536,20,125927,125963,841,32151,284882,128,86037,86165
65536,50,125899,125931,1886,77599,331315,128,86011,86139
65536,100,125923,125919,3642,153203,408687,128,86004,86132
65536,200,125919,125859,7139,304563,563480,128,85957,86085
65536,300,125863,125935,10664,455943,718405,128,86015,86143
65536,600,125915,125899,21138,910527,1183479,128,85988,86116
131072,1,250539,240479,179,3511,494708,128,171924,172052
131072,5,250463,240595,322,10051,501431,128,172011,172139
131072,10,250519,240575,503,18227,509824,128,171994,172122
131072,20,250551,240587,856,34595,526589,128,172004,172132
131072,50,250451,240639,1912,83655,576657,128,172044,172172
131072,100,250575,240715,3690,165347,660327,128,172099,172227
131072,200,250535,240703,7242,329047,827527,128,172090,172218
131072,300,250483,240539,10794,492571,994387,128,171969,172097
131072,600,250523,240591,21458,983399,1495971,128,172006,172134
262144,1,499739,469775,179,3631,973324,128,343896,344024
262144,5,499699,469783,322,10663,980467,128,343900,344028
262144,10,499743,469883,500,19439,989565,128,343977,344105
262144,20,499763,469907,856,36987,1007513,128,343995,344123
262144,50,499759,469859,1933,89699,1061250,128,343959,344087
262144,100,499687,469903,3725,177519,1150834,128,343992,344120
262144,200,499771,469999,7298,353059,1330127,128,344062,344190
262144,300,499763,469859,10882,528855,1509359,128,343959,344087
262144,600,499703,469979,21578,1055431,2046691,128,344049,344177
524288,1,998087,928495,179,3759,1930520,128,687933,688061
524288,5,998035,928395,323,11267,1938020,128,687860,687988
524288,10,998031,928595,515,20683,1947824,128,688008,688136
524288,20,998147,928695,876,39455,1967173,128,688085,688213
524288,50,998151,928643,1982,95855,2024631,128,688044,688172
524288,100,998199,928659,3806,189887,2120551,128,688056,688184
524288,200,997979,928339,7499,377915,2311732,128,687818,687946
524288,300,998071,928523,11133,565903,2503630,128,687955,688083
524288,600,998171,928487,22196,1129843,3078697,128,687929,688057
